Record_ID,Year,Month,village_name,problem_type,severity,affected_families,ngo_name,ngo_work
F9_REC00000,2019,Sep,"Nagpur, Maharashtra",Malaria Outbreak,High,112,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00001,2021,Apr,"Mumbai, Maharashtra",Malaria Outbreak | Dengue Outbreak | Low Immunization | Low ANC Coverage,High,200,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00002,2018,May,"Bengaluru, Karnataka",Malaria Outbreak | Dengue Outbreak,Medium,182,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00003,2017,May,"Hubli, Karnataka",Malaria Outbreak | Dengue Outbreak,Low,170,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00004,2019,Apr,"Bengaluru, Karnataka",Dengue Outbreak | TB Burden | Low Institutional Deliveries,Medium,123,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00005,2018,Apr,"Muzaffarpur, Bihar",Malaria Outbreak,High,54,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00006,2018,May,"Patna, Bihar",Dengue Outbreak | TB Burden,Low,154,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00007,2017,May,"Mumbai, Maharashtra",Malaria Outbreak | Dengue Outbreak | TB Burden | ASHA Worker Shortage,Low,208,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00008,2018,Jan,"Surat, Gujarat",General Health Monitoring,Medium,68,Doctors For You,"Emergency medical relief, rural health camps, TB & dengue response"
F9_REC00009,2017,Mar,"Coimbatore, Tamil Nadu",Malaria Outbreak | TB Burden,Low,176,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00010,2020,Aug,"Patna, Bihar",Dengue Outbreak | TB Burden,Medium,117,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00011,2017,Jun,"Madurai, Tamil Nadu",TB Burden,Medium,85,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00012,2019,Jan,"Muzaffarpur, Bihar",Malaria Outbreak | TB Burden,Medium,184,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00013,2018,Jul,"Hubli, Karnataka",TB Burden,Medium,98,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00014,2020,Feb,"Kolkata, West Bengal",Malaria Outbreak | Dengue Outbreak | Low ANC Coverage,Low,157,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00015,2019,Sep,"Howrah, West Bengal",Malaria Outbreak | Low ANC Coverage,High,95,NFHS,"Health data collection, fertility & mortality tracking, policy research"
F9_REC00016,2017,Aug,"Varanasi, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak | Low ANC Coverage | ASHA Worker Shortage,High,160,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00017,2019,Sep,"Patna, Bihar",Malaria Outbreak | Dengue Outbreak | TB Burden | Low Immunization,Low,182,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00018,2020,Aug,"Muzaffarpur, Bihar",General Health Monitoring,High,52,CARE India,"Maternal & child health, nutrition, immunization, emergency response"
F9_REC00019,2017,Jun,"Patna, Bihar",TB Burden | Low Institutional Deliveries,Medium,114,WHO India,"Disease monitoring, TB/malaria control, epidemiology, health system strengthening"
F9_REC00020,2021,Jan,"Pune, Maharashtra",Dengue Outbreak,Low,122,Smile Foundation,"Primary healthcare, mobile health units, community outreach, mother-child welfare"
F9_REC00021,2018,Sep,"Siliguri, West Bengal",Dengue Outbreak,High,101,UNICEF India,"Child immunization, ANC support, nutrition, disease surveillance"
F9_REC00022,2021,Feb,"Siliguri, West Bengal",Malaria Outbreak | TB Burden | ASHA Worker Shortage,Medium,165,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
F9_REC00023,2019,Jan,"Hubli, Karnataka",TB Burden,High,102,HMIS,"Health data reporting, facility monitoring, program evaluation"
F9_REC00024,2019,Mar,"Lucknow, Uttar Pradesh",Malaria Outbreak | Dengue Outbreak,High,150,NHM,"Primary healthcare delivery, ASHA worker deployment, institutional delivery"
